match_id,sport,league,home_team,away_team,match_date,home_win_odds,away_win_odds,draw_odds,implied_home,implied_away,implied_draw,win_pct_home_last5,win_pct_away_last5,rest_days_home,rest_days_away,avg_home_odds_last5,avg_away_odds_last5,result
fd_Premier League_Leicester_Chelsea_20241123,soccer,Premier League,Leicester,Chelsea,2024-11-23T00:00:00,7.05,1.46,4.78,0.13691760772834646,0.6611432427978373,0.20193914947381642,0.8,0.6,3.0,3.0,5.442,2.0620000000000003,away_win
fd_Premier League_Arsenal_Nott'm Forest_20241123,soccer,Premier League,Arsenal,Nott'm Forest,2024-11-23T00:00:00,1.38,8.73,5.03,0.6981146473727639,0.11035489271184581,0.19153045991539044,0.4,0.2,3.0,3.0,1.6079999999999999,4.662000000000001,home_win
fd_Premier League_Aston Villa_Crystal Palace_20241123,soccer,Premier League,Aston Villa,Crystal Palace,2024-11-23T00:00:00,1.63,5.59,4.06,0.5906430465661588,0.17222686330998907,0.23713009012385197,0.8,0.0,3.0,3.0,2.368,3.79,draw
fd_Premier League_Bournemouth_Brighton_20241123,soccer,Premier League,Bournemouth,Brighton,2024-11-23T00:00:00,2.42,2.91,3.62,0.3999802557637982,0.3326296285046019,0.2673901157315999,0.8,0.0,3.0,3.0,2.052,3.1239999999999997,away_win
fd_Premier League_Everton_Brentford_20241123,soccer,Premier League,Everton,Brentford,2024-11-23T00:00:00,2.5,2.97,3.38,0.38738731785626085,0.3260836008891084,0.28652908125463084,0.6,0.4,3.0,3.0,2.3939999999999997,3.418,draw
fd_Premier League_Fulham_Wolves_20241123,soccer,Premier League,Fulham,Wolves,2024-11-23T00:00:00,1.64,5.43,4.11,0.5878713164695005,0.1775522944769762,0.2345763890535233,0.8,0.2,3.0,3.0,2.788,5.904,away_win
fd_Premier League_Man City_Tottenham_20241123,soccer,Premier League,Man City,Tottenham,2024-11-23T00:00:00,1.48,6.13,4.98,0.6499312329945369,0.15691651302315085,0.19315225398231217,0.8,0.8,3.0,3.0,1.55,3.378,away_win
fd_Premier League_Southampton_Liverpool_20241124,soccer,Premier League,Southampton,Liverpool,2024-11-24T00:00:00,10.83,1.28,5.79,0.08825031882856846,0.746680431963591,0.1650692492078405,0.4,0.2,3.0,3.0,8.044,2.2800000000000002,away_win
fd_Premier League_Ipswich_Man United_20241124,soccer,Premier League,Ipswich,Man United,2024-11-24T00:00:00,5.24,1.64,4.25,0.1842277763680961,0.5886302122980631,0.22714201133384085,0.4,0.2,3.0,3.0,4.529999999999999,3.272,draw
fd_Premier League_Newcastle_West Ham_20241125,soccer,Premier League,Newcastle,West Ham,2024-11-25T00:00:00,1.5,6.49,4.58,0.6415867314782038,0.14828660974072505,0.21012665878107112,1.0,0.2,3.0,3.0,2.3280000000000003,6.144,away_win
fd_Premier League_Brighton_Southampton_20241129,soccer,Premier League,Brighton,Southampton,2024-11-29T00:00:00,1.39,7.66,5.33,0.6933610036020033,0.12581877219409718,0.1808202242038995,0.6,0.4,3.0,3.0,2.548,8.738,draw
fd_Premier League_Brentford_Leicester_20241130,soccer,Premier League,Brentford,Leicester,2024-11-30T00:00:00,1.65,4.98,4.33,0.5839799159916479,0.19348732156349777,0.22253276244485426,0.6,0.0,3.0,3.0,3.4219999999999997,9.324,home_win
fd_Premier League_Crystal Palace_Newcastle_20241130,soccer,Premier League,Crystal Palace,Newcastle,2024-11-30T00:00:00,3.16,2.31,3.52,0.30621375310687654,0.4188898094449047,0.27489643744821873,0.6,0.0,3.0,3.0,2.57,2.3600000000000003,draw
fd_Premier League_Nott'm Forest_Ipswich_20241130,soccer,Premier League,Nott'm Forest,Ipswich,2024-11-30T00:00:00,1.78,4.85,3.75,0.542983385827947,0.19928050036572076,0.25773611380633216,0.6,0.4,3.0,3.0,2.592,8.486,home_win
fd_Premier League_Wolves_Bournemouth_20241130,soccer,Premier League,Wolves,Bournemouth,2024-11-30T00:00:00,2.86,2.46,3.6,0.33817531961691794,0.3931631764651972,0.2686615039178848,0.6,0.0,3.0,3.0,3.6119999999999997,3.526,away_win
fd_Premier League_West Ham_Arsenal_20241130,soccer,Premier League,West Ham,Arsenal,2024-11-30T00:00:00,7.07,1.46,4.76,0.13646735395189002,0.6608384879725085,0.20269415807560137,0.8,0.4,3.0,3.0,3.2399999999999998,1.6620000000000001,away_win
fd_Premier League_Chelsea_Aston Villa_20241201,soccer,Premier League,Chelsea,Aston Villa,2024-12-01T00:00:00,1.7,4.6,4.3,0.5665998281294758,0.20939558865654542,0.22400458321397881,0.4,0.2,3.0,3.0,2.3619999999999997,3.232,home_win
fd_Premier League_Man United_Everton_20241201,soccer,Premier League,Man United,Everton,2024-12-01T00:00:00,1.55,6.17,4.36,0.6223859222121709,0.1563530274601078,0.2212610503277213,0.4,0.2,3.0,3.0,2.2640000000000002,5.014,home_win
fd_Premier League_Tottenham_Fulham_20241201,soccer,Premier League,Tottenham,Fulham,2024-12-01T00:00:00,1.75,4.28,4.35,0.5521270443795316,0.22575288029536927,0.22212007532509898,0.0,0.2,3.0,3.0,2.154,3.9899999999999998,draw
fd_Premier League_Liverpool_Man City_20241201,soccer,Premier League,Liverpool,Man City,2024-12-01T00:00:00,2.08,3.48,3.76,0.46492325184764066,0.2778851620238772,0.2571915861284821,0.8,0.2,3.0,3.0,1.48,2.162,home_win
fd_Premier League_Ipswich_Crystal Palace_20241203,soccer,Premier League,Ipswich,Crystal Palace,2024-12-03T00:00:00,3.15,2.39,3.41,0.30847580800835733,0.4065685335675003,0.2849556584241424,0.4,0.0,3.0,3.0,4.529999999999999,3.79,away_win
fd_Premier League_Leicester_West Ham_20241203,soccer,Premier League,Leicester,West Ham,2024-12-03T00:00:00,2.95,2.52,3.43,0.3299575127595329,0.3862597867621516,0.28378270047831544,0.8,0.2,3.0,3.0,5.442,6.144,home_win
fd_Premier League_Everton_Wolves_20241204,soccer,Premier League,Everton,Wolves,2024-12-04T00:00:00,2.16,3.62,3.4,0.44803284894726103,0.2673345176038906,0.28463263344884826,0.6,0.2,3.0,3.0,2.3939999999999997,5.904,home_win
fd_Premier League_Man City_Nott'm Forest_20241204,soccer,Premier League,Man City,Nott'm Forest,2024-12-04T00:00:00,1.36,8.26,5.41,0.7061971181046116,0.11627458603175204,0.17752829586363622,0.8,0.2,3.0,3.0,1.55,4.662000000000001,home_win
fd_Premier League_Newcastle_Liverpool_20241204,soccer,Premier League,Newcastle,Liverpool,2024-12-04T00:00:00,4.29,1.8,4.04,0.22496102160516737,0.5361571014923157,0.23888187690251686,1.0,0.2,3.0,3.0,2.3280000000000003,2.2800000000000002,draw
fd_Premier League_Southampton_Chelsea_20241204,soccer,Premier League,Southampton,Chelsea,2024-12-04T00:00:00,8.92,1.33,5.79,0.1081390401215541,0.7252633367550846,0.1665976231233614,0.4,0.6,3.0,3.0,8.044,2.0620000000000003,away_win
fd_Premier League_Arsenal_Man United_20241204,soccer,Premier League,Arsenal,Man United,2024-12-04T00:00:00,1.45,7.03,4.87,0.6648935447096683,0.13714020481209374,0.197966250478238,0.4,0.2,3.0,3.0,1.6079999999999999,3.272,home_win
fd_Premier League_Aston Villa_Brentford_20241204,soccer,Premier League,Aston Villa,Brentford,2024-12-04T00:00:00,1.8,4.44,3.91,0.5359736218138709,0.21728660343805573,0.24673977474807354,0.8,0.4,3.0,3.0,2.368,3.418,home_win
fd_Premier League_Fulham_Brighton_20241205,soccer,Premier League,Fulham,Brighton,2024-12-05T00:00:00,2.37,2.94,3.69,0.4084301833090503,0.32924473960627526,0.2623250770846746,0.8,0.0,3.0,3.0,2.788,3.1239999999999997,home_win
fd_Premier League_Bournemouth_Tottenham_20241205,soccer,Premier League,Bournemouth,Tottenham,2024-12-05T00:00:00,2.67,2.47,3.92,0.3620441449762,0.39135946035888824,0.24659639466491173,0.8,0.8,3.0,3.0,2.052,3.378,home_win
fd_Premier League_Aston Villa_Southampton_20241207,soccer,Premier League,Aston Villa,Southampton,2024-12-07T00:00:00,1.37,7.77,5.48,0.7011053462666366,0.12361831716670427,0.17527633656665914,0.8,0.4,3.0,3.0,2.368,8.738,home_win
fd_Premier League_Brentford_Newcastle_20241207,soccer,Premier League,Brentford,Newcastle,2024-12-07T00:00:00,2.88,2.38,3.75,0.3357863608659338,0.4063297139890292,0.25788392514503716,0.6,0.0,3.0,3.0,3.4219999999999997,2.3600000000000003,home_win
fd_Premier League_Crystal Palace_Man City_20241207,soccer,Premier League,Crystal Palace,Man City,2024-12-07T00:00:00,5.38,1.6,4.39,0.17895450214266423,0.6017345134547084,0.21931098440262725,0.6,0.2,3.0,3.0,2.57,2.162,draw
fd_Premier League_Man United_Nott'm Forest_20241207,soccer,Premier League,Man United,Nott'm Forest,2024-12-07T00:00:00,1.68,5.18,4.05,0.5749971221365259,0.18648555312535975,0.23851732473811446,0.4,0.2,3.0,3.0,2.2640000000000002,4.662000000000001,away_win
fd_Premier League_Fulham_Arsenal_20241208,soccer,Premier League,Fulham,Arsenal,2024-12-08T00:00:00,5.33,1.63,4.22,0.1807346994542698,0.5909913791970909,0.22827392134863936,0.8,0.4,3.0,3.0,2.788,1.6620000000000001,draw
fd_Premier League_Ipswich_Bournemouth_20241208,soccer,Premier League,Ipswich,Bournemouth,2024-12-08T00:00:00,3.68,2.01,3.76,0.262496874044847,0.4805912917836006,0.2569118341715524,0.4,0.0,3.0,3.0,4.529999999999999,3.526,away_win
fd_Premier League_Leicester_Brighton_20241208,soccer,Premier League,Leicester,Brighton,2024-12-08T00:00:00,4.69,1.73,4.07,0.20562098641770166,0.5574349284965439,0.23694408508575449,0.8,0.0,3.0,3.0,5.442,3.1239999999999997,draw
fd_Premier League_Tottenham_Chelsea_20241208,soccer,Premier League,Tottenham,Chelsea,2024-12-08T00:00:00,3.23,2.07,4.13,0.2991800553628859,0.4668365115082712,0.23398343312884293,0.0,0.6,3.0,3.0,2.154,2.0620000000000003,away_win
fd_Premier League_West Ham_Wolves_20241209,soccer,Premier League,West Ham,Wolves,2024-12-09T00:00:00,1.95,3.76,3.88,0.4947569760028216,0.25658938915039947,0.24865363484677888,0.8,0.2,3.0,3.0,3.2399999999999998,5.904,home_win
fd_Premier League_Arsenal_Everton_20241214,soccer,Premier League,Arsenal,Everton,2024-12-14T00:00:00,1.23,12.95,6.63,0.7809442987614368,0.07417463223757276,0.14488106900099051,0.4,0.2,3.0,3.0,1.6079999999999999,5.014,draw
fd_Premier League_Liverpool_Fulham_20241214,soccer,Premier League,Liverpool,Fulham,2024-12-14T00:00:00,1.32,8.88,6.04,0.7314263271584736,0.10872553511815147,0.15984813772337503,0.8,0.2,3.0,3.0,1.48,3.9899999999999998,draw
fd_Premier League_Newcastle_Leicester_20241214,soccer,Premier League,Newcastle,Leicester,2024-12-14T00:00:00,1.3,8.95,6.02,0.7346468502863376,0.10670848104717753,0.15864466866648486,1.0,0.0,3.0,3.0,2.3280000000000003,9.324,home_win
fd_Premier League_Wolves_Ipswich_20241214,soccer,Premier League,Wolves,Ipswich,2024-12-14T00:00:00,1.91,3.93,3.91,0.5064583216603441,0.2461413217229662,0.24740035661668983,0.6,0.4,3.0,3.0,3.6119999999999997,8.486,away_win
fd_Premier League_Nott'm Forest_Aston Villa_20241214,soccer,Premier League,Nott'm Forest,Aston Villa,2024-12-14T00:00:00,2.67,2.76,3.38,0.36266940355951577,0.3508432273564881,0.2864873690839962,0.6,0.2,3.0,3.0,2.592,3.232,home_win
